run_number,mers,epochs,eval_accuracy,eval_f1,eval_loss,eval_matthews_correlation,eval_precision,eval_recall
1,6,3,0.6041890856268541,0.2818366035720825,0.9960317611694336,0.08986870740330792,0.2940339575665213,0.6106247864569063
2,6,3,0.33693193803955707,0.20505047856410538,1.1036683320999146,0.07460879678587604,0.2885341945966619,0.5983985713355631
3,6,3,0.2875350136316179,0.17270042657221651,1.1221178770065308,0.06407474017606217,0.27842476668025834,0.606855439516006
4,6,10,0.5234167429912656,0.2469597489972897,1.0530836582183838,0.09416004394515445,0.2827681030629216,0.6269454072858731
5,6,3,0.3288223937708446,0.18979506082007327,1.1380772590637207,0.08273584709937008,0.28248765528425984,0.5746287522887399
6,6,3,0.2770275863358051,0.15227422430665236,1.1837537288665771,0.07111287532608644,0.2707598778055022,0.5662864799310895
7,6,10,0.5107277227854963,0.24011899623624564,1.050241470336914,0.09718879035665667,0.280725175445479,0.6169765536967906
8,4,3,0.3824837048093843,0.21772362680001492,1.071191668510437,0.0784853941878651,0.2873333160347753,0.5941042279143185
9,7,3,0.5027249884511759,0.2469917540817024,1.0488287210464478,0.08715313976671012,0.28504555906224516,0.6027908454234951
10,8,3,0.5686667716964355,0.26553690264717716,1.0034154653549194,0.07020666259513791,0.28564246709171176,0.6057482309772866
11,8,3,0.39895112644427055,0.22908814621084705,1.0769317150115967,0.07811530538698225,0.2911279989857447,0.6095906062364476
12,8,3,0.556153987882413,0.25497147572256584,1.0313535928726196,0.0872620799730291,0.28266591724637186,0.6064646791571573
13,9,3,0.4865379428940686,0.23933023199276343,1.0095399618148804,0.09041025844043639,0.283112923900527,0.6121948434548247
14,10,3,0.4884872241967225,0.24919467241311538,1.0024715662002563,0.09168807412533934,0.28891283164008497,0.5983493719450426
15,6,12,0.5507440647054582,0.25374393303563647,1.2368965148925781,0.09399214254348319,0.28283816625812463,0.6406461839709189
16,6,,0.5490431165002657,0.24999930394074554,1.265559196472168,0.09375241828953694,0.2809921793117268,0.6137892138555127
17,6,12,0.27907032633105205,0.1495256503760467,1.095185399055481,0.04788290396100753,0.264999214702375,0.5298740494375533
18,6,12,0.1692803947695175,0.0995306524052193,1.3435537815093994,0.03981291933892613,0.2618823180616301,0.4773096056606684
